trial,start_time,rt,correct,hint,fact_id,question,answer,easy_or_hard,alpha,cond,block
64,355718,2110,True,False,47,päivänkakkara,daisy,hard,0.3,No Hint,1
,,,,,,,,,,,
65,360115,988,True,False,15,talo,house,easy,0.3,No Hint,1
,,,,,,,,,,,
66,363570,1309,True,False,46,kahdeksan,eight,hard,0.20078125,No Hint,1
,,,,,,,,,,,
67,366969,4154,False,False,37,hienostelija,snob,hard,0.50234375,No Hint,1
,,,,,,,,,,,
68,373360,3277,True,False,23,ylpeä,proud,easy,0.34921875,No Hint,1
,,,,,,,,,,,
69,381050,2038,True,False,4,vuosi,year,easy,0.30390625,No Hint,1
,,,,,,,,,,,
70,384972,7434,True,False,25,rauhoittaa,calm,hard,0.49375,No Hint,1
,,,,,,,,,,,
71,394723,6115,False,False,37,hienostelija,snob,hard,0.5171875,No Hint,1
,,,,,,,,,,,
72,402298,1145,True,False,25,rauhoittaa,calm,hard,0.49296875,No Hint,1
,,,,,,,,,,,
73,405570,1172,True,False,13,pitkä,tall,easy,0.20078125,No Hint,1
,,,,,,,,,,,
74,408822,6073,True,False,5,neljä,four,easy,0.38671875,No Hint,1
,,,,,,,,,,,
75,416793,1567,True,False,39,väsynyt,tired,hard,0.303125,No Hint,1
,,,,,,,,,,,
76,420695,2323,True,False,37,hienostelija,snob,hard,0.51640625,No Hint,1
,,,,,,,,,,,
77,425498,1701,True,False,47,päivänkakkara,daisy,hard,0.20078125,No Hint,1
,,,,,,,,,,,
78,429574,6394,False,False,15,talo,house,easy,0.39296875,No Hint,1
,,,,,,,,,,,
79,438050,inf,True,False,5,neljä,four,easy,0.3890625,No Hint,1
,,,,,,,,,,,
80,443281,1581,True,False,25,rauhoittaa,calm,hard,0.4921875,No Hint,1
,,,,,,,,,,,
81,449004,6059,True,False,23,ylpeä,proud,easy,0.375,No Hint,1
,,,,,,,,,,,
82,457809,4677,True,False,15,talo,house,easy,0.3953125,No Hint,1
,,,,,,,,,,,
83,464514,inf,True,False,37,hienostelija,snob,hard,0.565625,No Hint,1
,,,,,,,,,,,
84,470678,1813,True,False,18,kolme,three,easy,0.3,No Hint,1
,,,,,,,,,,,
85,474603,2086,True,False,37,hienostelija,snob,hard,0.56484375,No Hint,1
,,,,,,,,,,,
86,479320,2331,True,False,25,rauhoittaa,calm,hard,0.49140625,No Hint,1
,,,,,,,,,,,
87,483770,2087,True,False,5,neljä,four,easy,0.38828125,No Hint,1
,,,,,,,,,,,
88,487898,3172,True,False,36,runoilija,poet,hard,0.3,No Hint,1
,,,,,,,,,,,
89,494596,1784,True,False,37,hienostelija,snob,hard,0.559375,No Hint,1
,,,,,,,,,,,
90,498962,1391,True,False,36,runoilija,poet,hard,0.3,No Hint,1
,,,,,,,,,,,
91,502880,4264,True,False,23,ylpeä,proud,easy,0.42109375,No Hint,1
,,,,,,,,,,,
92,511855,1110,True,False,15,talo,house,easy,0.39453125,No Hint,1
,,,,,,,,,,,
93,514999,3159,True,False,11,kaula,neck,easy,0.3,No Hint,1
,,,,,,,,,,,
94,520450,inf,False,False,25,rauhoittaa,calm,hard,0.4921875,No Hint,1
,,,,,,,,,,,
95,525712,1763,True,False,11,kaula,neck,easy,0.3,No Hint,1
,,,,,,,,,,,
96,529766,10759,True,False,37,hienostelija,snob,hard,0.56015625,No Hint,1
,,,,,,,,,,,
97,544159,2212,True,False,23,ylpeä,proud,easy,0.396875,No Hint,1
,,,,,,,,,,,
98,549006,1938,True,False,36,runoilija,poet,hard,0.22421875,No Hint,1
,,,,,,,,,,,
99,553788,2137,True,False,20,paita,shirt,easy,0.3,No Hint,1
,,,,,,,,,,,
100,558116,6203,True,False,37,hienostelija,snob,hard,0.6109375,No Hint,1
,,,,,,,,,,,
101,566464,1141,True,False,20,paita,shirt,easy,0.3,No Hint,1
,,,,,,,,,,,
102,569644,1137,True,False,37,hienostelija,snob,hard,0.56171875,No Hint,1
,,,,,,,,,,,
103,572881,1302,True,False,5,neljä,four,easy,0.3640625,No Hint,1
,,,,,,,,,,,
104,576670,1266,True,False,25,rauhoittaa,calm,hard,0.39296875,No Hint,1
,,,,,,,,,,,
105,582515,3219,False,False,11,kaula,neck,easy,0.39921875,No Hint,1
,,,,,,,,,,,
106,587729,1761,False,False,15,talo,house,easy,0.3953125,No Hint,1
,,,,,,,,,,,
107,591449,2538,True,False,24,lapsi,child,easy,0.3,No Hint,1
,,,,,,,,,,,
108,596377,1995,True,False,11,kaula,neck,easy,0.3984375,No Hint,1
,,,,,,,,,,,
