trial,start_time,rt,correct,hint,fact_id,question,answer,easy_or_hard,alpha,cond,block
77,304967.0,1668.0,True,False,11,kaula,neck,easy,0.20078124999999997,No Hint,1
78,310674.0,1780.0,True,False,18,kolme,three,easy,0.37109375,No Hint,1
79,314646.0,888.0,True,False,28,kalastaa,fish,hard,0.3,No Hint,1
80,317608.0,801.0,True,False,17,vesi,water,easy,0.3,No Hint,1
81,320419.0,5509.0,True,False,28,kalastaa,fish,hard,0.3,No Hint,1
82,327959.0,749.0,True,False,17,vesi,water,easy,0.3,No Hint,1
83,330677.0,1464.0,True,False,37,hienostelija,snob,hard,0.20078124999999997,No Hint,1
84,334382.0,1365.0,True,False,36,runoilija,poet,hard,0.20078124999999997,No Hint,1
85,337855.0,1055.0,True,False,31,yhdeksän,nine,hard,0.35312499999999997,No Hint,1
86,340916.0,2384.0,True,False,6,viisi,five,easy,0.30703125000000003,No Hint,1
87,345368.0,796.0,True,False,1,käsi,hand,easy,0.3,No Hint,1
88,349471.0,710.0,True,False,20,paita,shirt,easy,0.3,No Hint,1
89,352802.0,2960.0,True,False,1,käsi,hand,easy,0.3,No Hint,1
90,357705.0,4447.0,False,False,20,paita,shirt,easy,0.3,No Hint,1
91,363598.0,1048.0,True,False,28,kalastaa,fish,hard,0.20078124999999997,No Hint,1
92,366670.0,1379.0,True,False,13,pitkä,tall,easy,0.3312500000000001,No Hint,1
93,372186.0,1155.0,True,False,17,vesi,water,easy,0.20078124999999997,No Hint,1
94,375346.0,2072.0,True,False,1,käsi,hand,easy,0.35078125,No Hint,1
95,379379.0,1876.0,True,False,20,paita,shirt,easy,0.29765625,No Hint,1
96,383399.0,981.0,True,False,46,kahdeksan,eight,hard,0.20078124999999997,No Hint,1
97,386737.0,807.0,True,False,6,viisi,five,easy,0.30312500000000003,No Hint,1
98,389564.0,4587.0,False,False,18,kolme,three,easy,0.371875,No Hint,1
99,395597.0,812.0,True,False,1,käsi,hand,easy,0.325,No Hint,1
100,398326.0,942.0,True,False,31,yhdeksän,nine,hard,0.25390624999999994,No Hint,1
101,401288.0,2979.0,True,False,32,vesisade,rain,hard,0.24999999999999994,No Hint,1
102,406509.0,1065.0,True,False,25,rauhoittaa,calm,hard,0.10156249999999996,No Hint,1
103,409605.0,1444.0,True,False,45,seitsemän,seven,hard,0.10156249999999996,No Hint,1
104,415386.0,1257.0,True,False,20,paita,shirt,easy,0.29375,No Hint,1
105,418726.0,inf,True,False,7,hyvä,good,easy,0.3,No Hint,1
106,422210.0,2831.0,False,False,48,hiekkaranta,beach,hard,0.33984375,No Hint,1
107,427239.0,936.0,False,False,7,hyvä,good,easy,0.32421874999999994,No Hint,1
108,430165.0,1650.0,True,False,40,sateinen,rainy,hard,0.26015625,No Hint,1
109,434429.0,826.0,True,False,1,käsi,hand,easy,0.22578125,No Hint,1
110,437206.0,838.0,True,False,6,viisi,five,easy,0.20390625,No Hint,1
111,440307.0,1648.0,True,False,18,kolme,three,easy,0.34765625000000006,No Hint,1
112,444008.0,6408.0,False,False,32,vesisade,rain,hard,0.2742187499999999,No Hint,1
113,451861.0,749.0,True,False,7,hyvä,good,easy,0.32343749999999993,No Hint,1
114,454609.0,inf,True,False,34,maljakko,vase,hard,0.3,No Hint,1
115,458432.0,2523.0,True,False,15,talo,house,easy,0.24999999999999994,No Hint,1
116,463308.0,820.0,True,False,34,maljakko,vase,hard,0.20078124999999997,No Hint,1
117,468128.0,1154.0,True,False,20,paita,shirt,easy,0.19453125,No Hint,1
118,471414.0,988.0,True,False,43,suuttunut,angry,hard,0.10156249999999996,No Hint,1
119,474667.0,818.0,True,False,3,ruma,ugly,easy,0.10156249999999996,No Hint,1
120,477767.0,981.0,False,False,10,kenkä,shoe,easy,0.3,No Hint,1
121,480830.0,1820.0,True,False,19,kello,clock,easy,0.20156249999999998,No Hint,1
122,485181.0,986.0,True,False,10,kenkä,shoe,easy,0.29921875,No Hint,1
123,488985.0,714.0,True,False,7,hyvä,good,easy,0.3226562499999999,No Hint,1
124,491637.0,2242.0,True,False,48,hiekkaranta,beach,hard,0.390625,No Hint,1
125,496178.0,1833.0,True,False,32,vesisade,rain,hard,0.2796874999999999,No Hint,1
126,500067.0,1143.0,True,False,48,hiekkaranta,beach,hard,0.38984375,No Hint,1
127,503478.0,1296.0,True,False,15,talo,house,easy,0.17421874999999992,No Hint,1
128,509021.0,1610.0,True,False,11,kaula,neck,easy,0.175,No Hint,1
129,512856.0,5186.0,True,False,36,runoilija,poet,hard,0.20156249999999998,No Hint,1
130,520348.0,1148.0,True,False,10,kenkä,shoe,easy,0.19999999999999996,No Hint,1
131,524201.0,3016.0,True,False,37,hienostelija,snob,hard,0.20156249999999998,No Hint,1
132,529699.0,inf,True,False,28,kalastaa,fish,hard,0.3,No Hint,1
133,533060.0,inf,True,False,48,hiekkaranta,beach,hard,0.390625,No Hint,1
134,540799.0,859.0,True,False,28,kalastaa,fish,hard,0.29921875,No Hint,1
135,543656.0,inf,True,False,18,kolme,three,easy,0.4468750000000001,No Hint,1
136,549260.0,821.0,True,False,7,hyvä,good,easy,0.3218749999999999,No Hint,1
137,552352.0,1493.0,True,False,18,kolme,three,easy,0.3976562500000001,No Hint,1
138,557988.0,2304.0,True,False,17,vesi,water,easy,0.20156249999999998,No Hint,1
139,562517.0,inf,True,False,32,vesisade,rain,hard,0.28046874999999993,No Hint,1
140,569918.0,5636.0,True,False,13,pitkä,tall,easy,0.4304687500000001,No Hint,1
141,577839.0,828.0,True,False,28,kalastaa,fish,hard,0.19999999999999996,No Hint,1
142,580761.0,948.0,True,False,13,pitkä,tall,easy,0.4296875000000001,No Hint,1
143,583782.0,inf,True,False,48,hiekkaranta,beach,hard,0.46484374999999994,No Hint,1
144,589750.0,866.0,True,False,13,pitkä,tall,easy,0.4289062500000001,No Hint,1
145,592743.0,1304.0,True,False,48,hiekkaranta,beach,hard,0.39062499999999994,No Hint,1
146,596897.0,2736.0,True,False,18,kolme,three,easy,0.4968750000000001,No Hint,1
147,602259.0,938.0,True,False,7,hyvä,good,easy,0.2226562499999999,No Hint,1

1,625487.0,1171.0,True,False,41,onnellinen,happy,hard,0.3,Hint,2
2,629105.0,593.0,True,False,41,onnellinen,happy,hard,0.3,Hint,2
3,632019.0,791.0,True,False,9,lumi,snow,easy,0.3,Hint,2
4,634887.0,685.0,True,False,9,lumi,snow,easy,0.3,Hint,2
5,638204.0,982.0,True,False,27,naudanliha,beef,hard,0.3,Hint,2
6,641154.0,718.0,True,False,30,vasikanliha,veal,hard,0.3,Hint,2
7,645895.0,1175.0,True,False,27,naudanliha,beef,hard,0.3,Hint,2
